ID,タイトル,現URL,現カテゴリ,主要流入KW(top3),推奨新カテゴリ,URL変更有無,90日クリック数
1720,PwCコンサルティングの選考プロセスと各部門の業務内容を徹底解説！総コン企業研究シリーズ②,https://akagiconsulting.com/blog/information/1720/,企業研究,pwc 職種 違い(6) | pwc 部門(4) | pwc ジョブ選考(2),information,なし,137
2369,三菱総合研究所（MRI）の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2369/,企業研究,三菱総合研究所 選考フロー(3) | mri 選考フロー(2) | 三菱総研 新卒採用(2),information,なし,135
805,BCG（ボスコン）ケース面接過去問(例題)を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/805/,ケース面接対策,bcg ケース面接 過去問(24) | bcg ケース面接(3) | bcg ケース面接 中途(1),information,あり,130
1190,【初めてのケース面接④/公共ケース編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/case-interview/1190/,ケース面接対策,ケース面接 考え方(1) | 公共系(1) | bcg ケース 面接 日本語 公式(0),case-interview,なし,128
490,【中途向け/MBB内定者が教える】ベイン(Bain)のケース面接を突破し内定する方法【選考内容・過去問解説あり】,https://akagiconsulting.com/blog/fermi-estimate/490/,ケース面接対策|フェルミ推定対策,ベイン webテスト 中途(8) | ベイン 中途採用(3) | ベイン 中途面接(2),information,あり,122
782,【中途/20代・30代向け】総合コンサルにおけるケース面接の出題状況（PwC、デロイト、EY、KPMG、アクセンチュアなど）,https://akagiconsulting.com/blog/case-interview/782/,ケース面接対策|企業研究,デロイト ケース面接 中途(4) | ey ケース面接(3) | ey 中途 面接(1),case-interview,なし,119
2163,ワークスアプリケーションズの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2163/,企業研究,ワークスアプリケーションズ 面接(11) | ワークスアプリケーションズ 選考フロー(8) | ワークスアプリケーションズ 適性検査(2),information,なし,115
488,【MBB内定者が解説】ケース面接ノー勉は危険！コンサルのケース面接でボロボロにならず最短距離で内定を掴む対策法とは？,https://akagiconsulting.com/blog/case-interview/488/,ケース面接対策|体験談,ケース面接 ボロボロ(27) | ケース面接 ノー勉(17) | ケース面接 対策なし(4),case-interview,なし,112
2305,コーンフェリー（Korn Ferry）の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2305/,企業研究,コーンフェリー 難易度(18) | korn ferry(2) | korn ferry とは(2),information,なし,105
1208,【初めてのフェルミ推定②/供給ベース編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/fermi-estimate/1208/,フェルミ推定対策,フェルミ推定 苦手(2) | フェルミ推定 基礎知識(1) | フェルミ推定 売上(1),fermi-estimate,なし,103
2313,オリバー・ワイマン（Oliver Wyman）の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2313/,企業研究,オリバーワイマン 採用大学(8) | オリバーワイマン(7) | オリバーワイマン 新卒(6),information,なし,95
2043,P&amp;Eディレクションズの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2043/,企業研究,p&eディレクションズ(9) | peディレクション(4) | p&e(3),information,なし,90
1311,KPMGの選考プロセスと各部門の業務内容を徹底解説！総コン企業研究③,https://akagiconsulting.com/blog/information/1311/,企業研究,kpmg ジョブ選考(14) | kpmgコンサルティング 強み(1) | advisory kpmg(0),information,なし,90
807,ベインケース面接過去問(例題)を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/807/,ケース面接対策,ベイン ケース面接(12) | bain and company(0) | bain and company 年収(0),information,あり,89
2426,【因数分解とは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ③,https://akagiconsulting.com/blog/case-interview/2426/,ケース面接対策,ケース面接 因数分解(18) | フェルミ推定 因数分解(1) | 因数分解とは ビジネス(1),case-interview,なし,88
2334,日本オラクルの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2334/,企業研究,日本オラクル 選考フロー(5) | 日本オラクル 採用大学(4) | 日本オラクル 新卒採用(3),information,なし,85
2033,リッジラインズ（Ridgelinez）の選考プロセスと各部門の業務内容を徹底解説！総コン企業研究シリーズ⑪,https://akagiconsulting.com/blog/information/2033/,企業研究,ridgelinez 採用大学(1) | ridgelinez 選考フロー(1) | リッジラインズ(1),information,なし,80
582,【総コン対策指導のプロが解説】Big4・アクセンチュアのケース面接を突破し転職・内定する方法【過去問・例題解説付き】,https://akagiconsulting.com/blog/fermi-estimate/582/,ケース面接対策|フェルミ推定対策,big4 ケース面接(3) | big4 内定(1) | アクセンチュア ケース面接 ない(1),case-interview,あり,79
934,MBB内定者が高難易度フェルミ推定3問を徹底解説！【BCG過去問】,https://akagiconsulting.com/blog/fermi-estimate/934/,フェルミ推定対策,フェルミ推定 難問(9) | フェルミ推定 例題(2) | 3万人(0),fermi-estimate,なし,78
1194,【初めてのケース面接⑤/抽象ケース編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/case-interview/1194/,ケース面接対策,"""「丸さ」や「勇敢さ」といった他の抽象""(0) | ""丸さ"" ""勇敢さ"" ""抽象"" ""普遍者""(0) | ""丸さ」や「勇敢さ」といった他の抽象(0)",case-interview,なし,77
796,戦略コンケース面接対策法の全て【Strategistsが本気で解説】,https://akagiconsulting.com/blog/fermi-estimate/796/,ケース面接対策|フェルミ推定対策,ケース面接 対策(2) | ケース面接 構造化(2) | ケース面接対策(1),case-interview,あり,76
2296,アバントの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2296/,企業研究,アバント 就職難易度(11) | 株式会社アバント 就職難易度(5) | アバント 採用大学(3),information,なし,74
938,戦コン過去問に挑戦！公共系ケース面接解説シリーズ①【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/938/,ケース面接対策,インバウンド(0) | インバウンド 儲かる(0) | インバウンド 用語(0),case-interview,なし,74
1277,【過去問研究/ベイカレント】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！総コン編,https://akagiconsulting.com/blog/fermi-estimate/1277/,ケース面接対策|フェルミ推定対策,ベイカレント ケース面接 過去問(10) | ケース面接 ベイカレント(5) | ベイカレント ケース面接(2),case-interview,あり,73
537,戦コンケース面接の対策に必要な期間は？最短で内定レベルを目指す方法【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/537/,ケース面接対策|体験談,ケース面接 対策 期間(2) | ai ケース面接 対策(1) | case match(1),case-interview,なし,73
832,カーニー（KEARNEY)ケース面接過去問(例題)を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/832/,ケース面接対策,atカーニー 面接(2) | atカーニー ケース面接(1) | マッキンゼー ケース面接 過去問(1),information,あり,69
383,ケース面接初心者から2ヶ月でマッキンゼーに内定した話【卒業生インタビュー】,https://akagiconsulting.com/blog/case-interview/383/,おすすめ|ケース面接対策|体験談,マッキンゼー 最終面接(6) | マッキンゼー ケース面接(3) | マッキンゼー 受かる人(3),information,あり,69
1202,【初めてのフェルミ推定①/需要ベース編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/fermi-estimate/1202/,フェルミ推定対策,フェルミ推定 数字(4) | 市場規模 フェルミ推定(4) | フェルミ推定 市場規模(2),fermi-estimate,なし,68
974,【BCG内定者が解説】BCG(ボスコン)のケース面接を突破し内定する方法（過去問付き）,https://akagiconsulting.com/blog/fermi-estimate/974/,ケース面接対策|フェルミ推定対策|企業研究,bcg gmap(2) | bcg gmap ボーダー(2) | bcg 内定(1),information,あり,66
817,ローランドベルガーケース面接過去問（例題）を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/817/,ケース面接対策,ローランドベルガー ケース面接(9) | ローランド・ベルガー 面接(1) | ai ケース面接 例題(0),case-interview,なし,64
788,【戦コンケース面接例題】MBB内定者が基本問題の回答例を徹底解説,https://akagiconsulting.com/blog/case-interview/788/,ケース面接対策,ケース面接 例題(4) | ケース問題 解説付き(2) | ケース面接 例題 解答(2),case-interview,なし,61
479,コンサルのケース面接でフレームワークは必須？フレームワークの正しい使い方を知ろう【頻出フレームワーク9選をご紹介！】,https://akagiconsulting.com/blog/case-interview/479/,ケース面接対策,ケース面接 フレームワーク(24) | ケース面接 フレームワーク 一覧(3) | ケース問題 フレームワーク(2),case-interview,なし,61
1743,クニエ（QUNIE）の選考プロセスと各部門の業務内容を徹底解説！総コン企業研究シリーズ⑨,https://akagiconsulting.com/blog/information/1743/,企業研究,クニエ 選考フロー(6) | クニエ webテスト 中途(1) | クニエ 適性検査 中途(1),information,なし,57
1121,【過去問研究/Strategy&amp;】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1121/,ケース面接対策|フェルミ推定対策,ケース面接 市場規模(3) | case problem(0) | msc アセスメント対策(0),case-interview,あり,49
1078,ケース面接とは？対策法は？初心者必見の完全ガイド！【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/1078/,ケース面接対策|フェルミ推定対策,ケース面接 前提確認(7) | ケース面接 対策(3) | ケース面接 やり方(2),case-interview,あり,47
1266,戦コン最終面接突破のコツ！実践系ケース面接を攻略して内定/転職！【MBB内定者が解説】ステージ別対策③,https://akagiconsulting.com/blog/fermi-estimate/1266/,ケース面接対策|ビヘイビア対策|フェルミ推定対策,コンサル 最終面接(3) | ctc ケース面接(0) | dirbato ケース面接(0),case-interview,あり,46
823,ADL（アーサーディーリトル）ケース面接過去問(例題)を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/823/,ケース面接対策,adl 選考フロー(1) | adl コンサル(0) | adl 会社(0),information,あり,46
1117,【過去問研究/YCP】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1117/,ケース面接対策|フェルミ推定対策,ycp japan 就職 難易度(0) | ycp solidiance 就職難易度(0) | ycp 就職偏差値(0),case-interview,あり,43
561,【戦略コンサル内定者が解説】ローランド・ベルガーのケース面接を突破し内定する方法【傾向と対策】MBB内定者による例題解説あり,https://akagiconsulting.com/blog/fermi-estimate/561/,ケース面接対策|フェルミ推定対策,ローランドベルガー ケース面接(4) | 40歳でスタートアップに挑戦して爆死した(0) | aiケース面接とは(0),information,あり,42
827,Strategy&amp;（S&amp;）ケース面接過去問(例題)を徹底解説！【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/827/,フェルミ推定対策,ケース面接 例題(2) | ケース面接 問題集(1) | aiケース面接(0),information,あり,40
2152,SAPの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2152/,企業研究,sapジャパン 面接(1) | erp 志望動機(0) | erpとは sap(0),information,なし,37
1185,【初めてのケース面接③/成長戦略編】戦コン内定者が基礎的な考え方とBCG過去問を徹底解説！,https://akagiconsulting.com/blog/case-interview/1185/,ケース面接対策,ケース面接 成長戦略(3) | bcg(0) | case技術(0),case-interview,なし,36
2103,レイヤーズコンサルティングの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2103/,企業研究,レイヤーズコンサルティング 難易度(4) | レイヤーズコンサルティング 就職難易度(3) | どんな会社ですか？(0),information,なし,35
842,【MBB内定者が語る】ケース面接対策におすすめの対策方法は？独学？本？塾？効率的な対策で戦コン内定を獲得する方法,https://akagiconsulting.com/blog/case-interview/842/,ケース面接対策,ケース面接 対策(5) | ケース面接対策塾strategists 評判(4) | ケース 面接 対策 本(1),case-interview,なし,34
1124,【過去問研究/カーニー（KEARNEY)】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1124/,ケース面接対策|フェルミ推定対策,a.t. カーニー 最終面接(0) | a.t. カーニー 面接(0) | a.t.カーニー(0),information,あり,33
1255,【過去問研究/デロイト（DTC）】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！総コン編,https://akagiconsulting.com/blog/case-interview/1255/,ケース面接対策,デロイト ケース面接 過去問(4) | デロイト 内定者課題(1) | deloitte strategy(0),case-interview,なし,32
896,B&amp;DXの選考対策とケース面接過去問(例題)を徹底解説！【戦コン対策指導のプロが解説】,https://akagiconsulting.com/blog/case-interview/896/,ケース面接対策,b&dx 就職難易度(0) | b&dx 評判(0) | b&dx株式会社(0),information,あり,32
1148,【過去問研究/ドリーム・インキュベータ（DI）】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1148/,ケース面接対策|フェルミ推定対策,ドリームインキュベータ 最終面接(3) | ドリームインキュベータ 面接(1) | dirbato ケース面接(0),information,あり,31
1105,【過去問研究/経営共創基盤（IGPI）】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1105/,ケース面接対策|フェルミ推定対策,ケース面接 市場規模(1) | 経営共創基盤 ケース面接(1) | ケース面接(0),case-interview,あり,29
791,【過去問研究/BCG(ボスコン)】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/case-interview/791/,ケース面接対策,bcg ケース面接 過去問(2) | bcg ケース面接体験会(0) | ファミレス 売上ランキング(0),case-interview,なし,29
766,戦コンケース面接例題(BCG/ベイン過去問)を徹底解説〜回転寿司/旅行代理店/タピオカ屋の売上向上〜【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/766/,ケース面接対策,ケース面接 例題(1) | bcg ケース面接 中途(0) | bcg ケース面接 過去問(0),case-interview,なし,28
1095,応用系フェルミ推定に挑戦！BCG過去問解説②【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/1095/,フェルミ推定対策,bcg ケース面接 過去問(0) | グループディスカッション フェルミ推定(0) | フェミに推定(0),fermi-estimate,なし,27
1056,S&amp;(Strategy&amp;)のケース面接を突破し内定する方法（過去問・解説付き）,https://akagiconsulting.com/blog/fermi-estimate/1056/,ケース面接対策|フェルミ推定対策|企業研究,s& 選考フロー(1) | strategy& 中途面接(1) | bcg 中途 落ちた(0),information,あり,27
930,【戦コン過去問】MBB内定者が高難易度フェルミ推定を解説！②,https://akagiconsulting.com/blog/fermi-estimate/930/,フェルミ推定対策,mbb 難易度(0) | エンリコ フェルミ フェルミ推定(0) | フェルミ推定(0),fermi-estimate,なし,27
813,アクセンチュアケース面接過去問(例題)を徹底解説！【総コン対策指導のプロが解説】,https://akagiconsulting.com/blog/fermi-estimate/813/,ケース面接対策|フェルミ推定対策,アクセンチュアソング ケース面接(1) | ケース面接 アクセンチュア 過去 問(1) | accenture(0),information,あり,27
1109,【過去問研究/ZSアソシエイツ】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/case-interview/1109/,ケース面接対策,ケース面接対策塾strategists 評判(1) | zs association(0) | zs case(0),case-interview,なし,26
2108,ウルシステムズの選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2108/,企業研究,ulsコンサルティング 難易度(2) | ウルシステムズ 採用大学(2) | 03-6220-1400(0),information,なし,25
1155,【過去問研究/ADL】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/1155/,ケース面接対策|フェルミ推定対策,adl 転職(0) | adl 面接(0) | ltv戦略(0),career,あり,25
952,【過去問研究/ベイン（Bain）】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/fermi-estimate/952/,ケース面接対策|フェルミ推定対策,ベイン ケース面接(2) | bcg 就活(0) | アセスメント力を高める(0),case-interview,あり,25
2488,【マッキンゼーの7Sとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑮,https://akagiconsulting.com/blog/case-interview/2488/,ケース面接対策,マッキンゼーの7s 使い方(2) | マッキンゼー 7s 使い方(1) | マッキンゼー 7s 具体 例(1),case-interview,なし,24
1151,【過去問研究/アクセンチュア】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！総コン編,https://akagiconsulting.com/blog/fermi-estimate/1151/,ケース面接対策|フェルミ推定対策,アクセンチュア ケース面接 過去問(3) | アクセンチュア 内定者数(1) | フェルミ推定 アクセンチュア(1),case-interview,あり,23
1091,応用系フェルミ推定に挑戦！BCG過去問解説①【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/1091/,フェルミ推定対策,1日に飛ぶ飛行機の数(0) | bcg(0) | bcg ケース面接 過去問(0),fermi-estimate,なし,23
2442,【5W1Hとは】MBB内定者がフレームワークの使い方をわかりやすく解説｜具体例で学ぶ⑤,https://akagiconsulting.com/blog/case-interview/2442/,ケース面接対策,5 w 1 h(0) | 5 w 1 h って何(0) | 5 w 11(0),case-interview,なし,22
1307,アビームの選考プロセスと各部門の業務内容を徹底解説！総コン企業研究⑥,https://akagiconsulting.com/blog/information/1307/,企業研究,アビーム 戦略 難易度(1) | adl コンサル(0) | bcg中途 webテスト 落ちた(0),information,なし,22
926,高難易度フェルミ推定に挑戦！応用/発展系フェルミ推定解説シリーズ（ケース面接付き）【MBB内定者が解説】,https://akagiconsulting.com/blog/fermi-estimate/926/,ケース面接対策|フェルミ推定対策,case面接(0) | wbc 経済効果(0) | ケース 面接(0),fermi-estimate,なし,22
665,【戦略コンサル転職に必要な学歴】東大・京大以外でも可能？早慶・Marchは？戦略コンサル入社支援のプロが解説,https://akagiconsulting.com/blog/information/665/,企業研究,戦略コンサル 学歴(1) | mbb 学歴(0) | strategy& 学歴(0),career,あり,22
1259,【過去問研究/PwC】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！総コン編,https://akagiconsulting.com/blog/case-interview/1259/,ケース面接対策,pwc ケース(1) | pwc ケース面接(1) | bcg ケース面接 過去問(0),case-interview,なし,21
1252,【過去問研究/B&DX】MBB内定者が過去10年のケース面接から出題傾向を徹底分析！戦コン編,https://akagiconsulting.com/blog/case-interview/1252/,ケース面接対策,b&dx(0) | b&dx 就職難易度(0) | b＆dx(0),case-interview,なし,21
2360,富士通総研（FRI）の選考プロセスと各部門の業務内容を徹底解説！企業研究シリーズ,https://akagiconsulting.com/blog/information/2360/,企業研究,富士通総研 採用(4) | 富士通総研(2) | 富士通総研 採用大学(1),information,なし,20
949,戦コン過去問に挑戦！公共系ケース面接解説シリーズ③【MBB内定者が解説】,https://akagiconsulting.com/blog/case-interview/949/,ケース面接対策,bcg ケース面接 過去問(0) | ケース面接 公共系(0) | フェルミ推定 キーエンス(0),case-interview,なし,20
921,【BCG過去問解説】戦コン内定者も苦戦した発展系ケース面接に挑戦！⑤「今後の広島銀行の戦略を検討せよ」,https://akagiconsulting.com/blog/fermi-estimate/921/,ケース面接対策|フェルミ推定対策,bcg ケース面接 過去問(0) | カイログ 広島 銀行(0) | リーディングバンクとは(0),case-interview,あり,20
904,【BCG過去問解説】戦コン内定者も苦戦した発展系ケース面接（海外進出系）に挑戦！②「JR東海が新幹線を海外に売り込むとしたら、どこの国がいいか？」,https://akagiconsulting.com/blog/fermi-estimate/904/,ケース面接対策|フェルミ推定対策,bcg x 日本(0) | bcg ケース面接 過去問(0) | bcg 落ちた(0),fermi-estimate,なし,20
